feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.725575828614468
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.7265582436271444
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.10379403480387778
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5958332851096206
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8952235501834458
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9730690762863541
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.31138210441163333
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.5179877590067123
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4930216653184194
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8173780240805374
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.024966093688293
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9471205675853847
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7525067523281138
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.4281503935659958
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.609789954472782
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1676828915436248
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.025948508700969444
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07784552610290833
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.700609734926175
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6357384631737514
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.582859030759136
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.492039250305743
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3363481980999263
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.700609734926175
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.5189701740193888
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5189701740193888
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.45409890226696525
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.5319444283698735
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1287601284921707
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22056232395824027
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.3752709611513805
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5968157001222972
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.5439362677076818
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1806571458941097
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012974254350484722
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.024966093688293
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9600948219358694
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.9471205675853847
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8303522784310222
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.7654810066785985
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31138210441163333
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.1028116197912012
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.7784552610290832
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.46707315661744997
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.7784552610290832
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.44112464791648054
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.349322452450411
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23353657830872498
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.40121946985235
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6876354805756902
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7135839892766597
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45409890226696525
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.3622967068008958
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3503048674630875
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.4141937242028346
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1028116197912012
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3503048674630875
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.582859030759136
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.1287601284921707
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4151761392155111
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.1806571458941097
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.46707315661744997
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.15470863719314
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4281503935659958
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0509146023892624
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5968157001222972
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3632791218135722
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5958332851096206
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.4141937242028346
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0509146023892624
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3752709611513805
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.5179877590067123
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8303522784310222
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.1028116197912012
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.2974254350484722
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.115785874141686
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9341463132348999
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5319444283698735
